"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","fitness","num-replicates","best-fitness-so-far"
"2","325","100","8.6","1.6","6.2","10","100","""byPackets""","5","1","0","59.3","5","53.1"
"2","330","100","9.600000000000001","9.200000000000001","2.6","10","100","""byPackets""","5","1","4.4","67.2","5","53.1"
"2","335","100","2.6","1.2000000000000002","9.200000000000001","10","100","""byPackets""","5","1","6","62.2","5","53.1"
"2","340","100","7.800000000000001","8.6","8.4","10","100","""byPackets""","5","1","3.4000000000000004","58.9","5","53.1"
"2","345","100","9.200000000000001","10","5.800000000000001","10","100","""byPackets""","5","1","0","59.8","5","53.1"
"2","350","100","9.8","9.4","4.2","10","100","""byPackets""","5","1","0.8","67.5","5","53.1"
"2","355","100","2","1.2000000000000002","8.200000000000001","10","100","""byPackets""","5","1","6","64.1","5","53.1"
"2","360","100","7.800000000000001","7.2","8.4","10","100","""byPackets""","5","1","6","60.6","5","53.1"
"2","365","100","8.8","2.4000000000000004","7","10","100","""byPackets""","5","1","0","59.3","5","53.1"
"2","370","100","1.2000000000000002","2.4000000000000004","8","10","100","""byPackets""","5","1","0.2","64.9","5","53.1"
"2","375","100","6.6000000000000005","0.2","4.2","10","100","""byPackets""","5","1","8.6","60.4","5","53.1"
"2","380","100","9.200000000000001","0.2","8.4","10","100","""byPackets""","5","1","5.800000000000001","59.9","5","53.1"
"2","385","100","0.4","1","5.6000000000000005","10","100","""byPackets""","5","1","8.6","55","5","53.1"
"2","390","100","9.600000000000001","0","8.6","10","100","""byPackets""","5","1","6.2","55.1","5","53.1"
"2","395","100","6","0.8","5.800000000000001","10","100","""byPackets""","5","1","0","54.7","5","53.1"
"2","400","100","6.4","5.6000000000000005","5.4","10","100","""byPackets""","5","1","0","63.2","5","53.1"
"2","405","100","8.8","2.4000000000000004","8.8","10","100","""byPackets""","5","1","4.800000000000001","58","5","53.1"
"2","410","100","7.4","10","6.2","10","100","""byPackets""","5","1","5.4","58","5","53.1"
"2","415","100","8.6","10","3.2","10","100","""byPackets""","5","1","3.4000000000000004","72.7","5","53.1"
"2","420","100","8","2.2","1.2000000000000002","10","100","""byPackets""","5","1","4.800000000000001","59.3","5","53.1"
"2","425","100","7.4","7.800000000000001","6.2","10","100","""byPackets""","5","1","3.4000000000000004","63.2","5","53.1"
"2","430","100","5.800000000000001","0.2","5.4","10","100","""byPackets""","5","1","9","64","5","53.1"
"2","435","100","4.4","2.4000000000000004","3.4000000000000004","10","100","""byPackets""","5","1","8.6","62.7","5","53.1"
"2","440","100","7.6000000000000005","3.2","4.6000000000000005","10","100","""byPackets""","5","1","0.8","55.5","5","53.1"
"2","445","100","5","9.600000000000001","3.2","10","100","""byPackets""","5","1","3.2","72.5","5","53.1"
"2","450","100","9.8","2.4000000000000004","5.800000000000001","10","100","""byPackets""","5","1","0","62.8","5","53.1"
"2","455","100","5.800000000000001","9.600000000000001","8","10","100","""byPackets""","5","1","0.8","59.4","5","53.1"
"3","5","100","3.2","7.800000000000001","1.6","10","100","""byPackets""","5","1","8.200000000000001","64.9","5","64.9"
"3","10","100","8.200000000000001","5.4","8.8","10","100","""byPackets""","5","1","9.4","65.1","5","64.9"
"3","15","100","2","0.8","7.800000000000001","10","100","""byPackets""","5","1","7.800000000000001","58.2","5","58.2"
"3","20","100","4.6000000000000005","3.2","2.8000000000000003","10","100","""byPackets""","5","1","0","65.1","5","58.2"
"3","25","100","3.4000000000000004","6.2","3.2","10","100","""byPackets""","5","1","5.2","54.4","5","54.4"
"3","30","100","6.2","0.4","7","10","100","""byPackets""","5","1","0.8","60.4","5","54.4"
"3","35","100","0.6000000000000001","6.2","5","10","100","""byPackets""","5","1","7.800000000000001","59.4","5","54.4"
