"search-number","evaluation","evals-requested-so-far","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","93","250","100","7.6000000000000005","2.4000000000000004","9","10","100","""byPackets""","5","1","6.4","""133871653""","0","142","71","41.42463035441596","142"
"1","94","250","100","7.6000000000000005","2.4000000000000004","9","10","100","""byPackets""","5","1","6.4","""1601423020""","0","101","50.5","29.588849251026982","101"
"1","95","250","100","7.6000000000000005","2.4000000000000004","9","10","100","""byPackets""","5","1","6.4","""-55086725""","0","155","77.5","45.17742799230607","155"
"1","96","250","100","1.8","6.4","6.2","10","100","""byPackets""","5","1","4.4","""818110374""","0","108","54","31.609597698589372","108"
"1","97","250","100","1.8","6.4","6.2","10","100","""byPackets""","5","1","4.4","""620205251""","0","103","51.5","30.166206257996713","103"
"1","98","250","100","1.8","6.4","6.2","10","100","""byPackets""","5","1","4.4","""825346432""","0","140","70","40.847276531000205","140"
"1","99","250","100","1.8","6.4","6.2","10","100","""byPackets""","5","1","4.4","""2113577297""","0","131","65.5","38.24918299781056","131"
"1","100","250","100","1.8","6.4","6.2","10","100","""byPackets""","5","1","4.4","""-590344371""","0","119","59.5","34.785054261852174","119"
"1","101","250","100","9.200000000000001","9.4","8.6","10","100","""byPackets""","5","1","6.800000000000001","""-700850552""","0","118","59","34.49637662132068","118"
"1","102","250","100","9.200000000000001","9.4","8.6","10","100","""byPackets""","5","1","6.800000000000001","""-1653554819""","0","110","55","32.18695387886216","110"
"1","103","250","100","9.200000000000001","9.4","8.6","10","100","""byPackets""","5","1","6.800000000000001","""958937199""","0","119","59.5","34.785054261852174","119"
"1","104","250","100","9.200000000000001","9.4","8.6","10","100","""byPackets""","5","1","6.800000000000001","""1330871275""","0","126","63","36.8057966449127","126"
"1","105","250","100","9.200000000000001","9.4","8.6","10","100","""byPackets""","5","1","6.800000000000001","""1210959532""","0","134","67","39.11521443121589","134"
"1","106","250","100","10","4.2","0.8","10","100","""byPackets""","5","1","0.4","""1657867688""","0","127","63.5","37.094473981982816","127"
"1","107","250","100","10","4.2","0.8","10","100","""byPackets""","5","1","0.4","""-444362255""","0","100","50","29.300170647967224","100"
"1","108","250","100","10","4.2","0.8","10","100","""byPackets""","5","1","0.4","""-1516959924""","0","143","71.5","41.71330722922842","143"
"1","109","250","100","10","4.2","0.8","10","100","""byPackets""","5","1","0.4","""-761963517""","0","122","61","35.651086939951774","122"
"1","110","250","100","10","4.2","0.8","10","100","""byPackets""","5","1","0.4","""1328315517""","0","130","65","37.960505792204614","130"
"1","111","250","100","8.4","0.2","6.2","10","100","""byPackets""","5","1","5.800000000000001","""-1546751715""","0","136","68","39.69256857397868","136"
"1","112","250","100","8.4","0.2","6.2","10","100","""byPackets""","5","1","5.800000000000001","""-718124421""","0","120","60","35.073731861133155","120"
"1","113","250","100","8.4","0.2","6.2","10","100","""byPackets""","5","1","5.800000000000001","""846152975""","0","101","50.5","29.588849251026982","101"
"1","114","250","100","8.4","0.2","6.2","10","100","""byPackets""","5","1","5.800000000000001","""-753093517""","0","99","49.5","29.011491975882016","99"
"1","115","250","100","8.4","0.2","6.2","10","100","""byPackets""","5","1","5.800000000000001","""600307574""","0","108","54","31.609597698589372","108"
"1","116","250","100","6.4","0","5.6000000000000005","10","100","""byPackets""","5","1","1.4000000000000001","""-1838176715""","0","111","55.5","32.47563189018293","111"
"1","117","250","100","6.4","0","5.6000000000000005","10","100","""byPackets""","5","1","1.4000000000000001","""-1637499352""","0","141","70.5","41.13595345517916","141"
"1","118","250","100","6.4","0","5.6000000000000005","10","100","""byPackets""","5","1","1.4000000000000001","""1090898723""","0","109","54.5","31.898275815473163","109"
"1","119","250","100","6.4","0","5.6000000000000005","10","100","""byPackets""","5","1","1.4000000000000001","""-613598530""","0","117","58.5","34.20769893849434","117"
"1","120","250","100","6.4","0","5.6000000000000005","10","100","""byPackets""","5","1","1.4000000000000001","""1542648864""","0","126","63","36.8057966449127","126"
"1","121","250","100","8.6","4","5.4","10","100","""byPackets""","5","1","9.600000000000001","""435700""","0","118","59","34.49637662132068","118"
"1","122","250","100","8.6","4","5.4","10","100","""byPackets""","5","1","9.600000000000001","""1883373681""","0","163","81.5","47.486840282335066","163"
"1","123","250","100","8.6","4","5.4","10","100","""byPackets""","5","1","9.600000000000001","""1042353969""","0","144","72","42.00198408012015","144"
"1","124","250","100","8.6","4","5.4","10","100","""byPackets""","5","1","9.600000000000001","""-2087266329""","0","142","71","41.42463035441596","142"
