"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","packetradius*","fitness","num-replicates","best-fitness-so-far"
"4","260","200","0","0.5","0.7000000000000001","5","100","""byPackets""","5","3","68.625","20","30.15"
"4","280","200","0.9","0.2","1","5","100","""byPackets""","5","3","55.65","20","30.15"
"4","300","200","0.8","0.1","0.2","5","100","""byPackets""","5","3","29.6","20","29.6"
"4","320","200","0.8","0.8","0.2","5","100","""byPackets""","5","3","35.925","20","29.6"
"4","340","200","0.8","0.2","0.5","5","100","""byPackets""","5","3","32.825","20","29.6"
"4","360","200","0.6000000000000001","0","0.2","5","100","""byPackets""","5","3","32.375","20","29.6"
"4","380","200","0.7000000000000001","0.9","0.7000000000000001","5","100","""byPackets""","5","3","56.2","20","29.6"
"4","400","200","0.9","0.30000000000000004","0.8","5","100","""byPackets""","5","3","45.275","20","29.6"
"4","420","200","0.7000000000000001","1","0.2","5","100","""byPackets""","5","3","33.975","20","29.6"
"4","440","200","0.9","0.9","0.2","5","100","""byPackets""","5","3","34.375","20","29.6"
"4","460","200","0.4","0.7000000000000001","0.7000000000000001","5","100","""byPackets""","5","3","42.425","20","29.6"
"4","480","200","0","0.1","0","5","100","""byPackets""","5","3","32.2","20","29.6"
"4","500","200","0.8","0.7000000000000001","0.2","5","100","""byPackets""","5","3","35.025","20","29.6"
"4","520","200","0.2","0.9","0.2","5","100","""byPackets""","5","3","45.625","20","29.6"
"4","540","200","0.5","0.9","0.5","5","100","""byPackets""","5","3","39.95","20","29.6"
"4","560","200","0","0.2","0","5","100","""byPackets""","5","3","77.825","20","29.6"
"4","580","200","0.8","0","0.7000000000000001","5","100","""byPackets""","5","3","46.975","20","29.6"
"4","600","200","0.7000000000000001","0.7000000000000001","0.4","5","100","""byPackets""","5","3","60.75","20","29.6"
"4","620","200","0","0.4","0.9","5","100","""byPackets""","5","3","76.9","20","29.6"
"4","640","200","0.9","0.30000000000000004","0.9","5","100","""byPackets""","5","3","59.95","20","29.6"
"4","660","200","0.6000000000000001","0.7000000000000001","0.1","5","100","""byPackets""","5","3","36.175","20","29.6"
"4","680","200","0.7000000000000001","0.1","0.6000000000000001","5","100","""byPackets""","5","3","35.2","20","29.6"
"4","700","200","0.7000000000000001","0.7000000000000001","0","5","100","""byPackets""","5","3","37.225","20","29.6"
"4","720","200","0.4","0.30000000000000004","0.7000000000000001","5","100","""byPackets""","5","3","46.175","20","29.6"
"4","740","200","0","0.1","0.4","5","100","""byPackets""","5","3","34.2","20","29.6"
"4","760","200","0","0.2","0","5","100","""byPackets""","5","3","56.15","20","29.6"
"4","780","200","0.7000000000000001","0.4","0.9","5","100","""byPackets""","5","3","81.675","20","29.6"
"4","800","200","0","0.4","0.7000000000000001","5","100","""byPackets""","5","3","54.05","20","29.6"
"4","820","200","0.7000000000000001","0.7000000000000001","0.2","5","100","""byPackets""","5","3","33.625","20","29.6"
"4","840","200","0.4","0.7000000000000001","0.2","5","100","""byPackets""","5","3","34.725","20","29.6"
"4","860","200","0.8","0","0.5","5","100","""byPackets""","5","3","55.35","20","29.6"
"4","880","200","0.9","0.1","0.2","5","100","""byPackets""","5","3","57.15","20","29.6"
"4","900","200","0.5","0.9","0.9","5","100","""byPackets""","5","3","71.15","20","29.6"
"4","920","200","0.9","0.4","0","5","100","""byPackets""","5","3","58.025","20","29.6"
"4","940","200","0.8","0.6000000000000001","0.9","5","100","""byPackets""","5","3","46.75","20","29.6"
"4","960","200","0.4","0.4","0.4","5","100","""byPackets""","5","3","77.725","20","29.6"
"4","980","200","0.2","0.7000000000000001","0.30000000000000004","5","100","""byPackets""","5","3","37.575","20","29.6"
"4","1000","200","0.30000000000000004","0.4","0.2","5","100","""byPackets""","5","3","35.35","20","29.6"
"5","20","200","0.2","0.7000000000000001","0.8","5","100","""byPackets""","5","3","47.325","20","47.325"
"5","40","200","0.5","0.5","0.30000000000000004","5","100","""byPackets""","5","3","55.725","20","47.325"
"5","60","200","0","0.30000000000000004","0.7000000000000001","5","100","""byPackets""","5","3","51.525","20","47.325"
"5","80","200","0.6000000000000001","0.2","0.9","5","100","""byPackets""","5","3","68.875","20","47.325"
"5","100","200","0.9","0","0.5","5","100","""byPackets""","5","3","31.5","20","31.5"
"5","120","200","0.4","0.4","0.4","5","100","""byPackets""","5","3","36.025","20","31.5"
"5","140","200","0.8","0.9","0.9","5","100","""byPackets""","5","3","68.225","20","31.5"
"5","160","200","1","0.4","0.9","5","100","""byPackets""","5","3","55.55","20","31.5"
"5","180","200","0.4","0.8","1","5","100","""byPackets""","5","3","51.125","20","31.5"
"5","200","200","0.6000000000000001","0.9","0.5","5","100","""byPackets""","5","3","34.25","20","31.5"
"5","220","200","0.4","0","0","5","100","""byPackets""","5","3","31.425","20","31.425"
"5","240","200","0.2","0.5","0.9","5","100","""byPackets""","5","3","55.95","20","31.425"
"5","260","200","0.5","1","1","5","100","""byPackets""","5","3","49.6","20","31.425"
"5","280","200","0.4","0.2","0.2","5","100","""byPackets""","5","3","29.6","20","29.6"
"5","300","200","0.9","0.9","0.9","5","100","""byPackets""","5","3","39.775","20","29.6"
"5","320","200","0.9","0.9","0.9","5","100","""byPackets""","5","3","65.7","20","29.6"
"5","340","200","0.7000000000000001","0.8","0","5","100","""byPackets""","5","3","40.075","20","29.6"
"5","360","200","0.6000000000000001","0.9","0.6000000000000001","5","100","""byPackets""","5","3","33.525","20","29.6"
"5","380","200","0.6000000000000001","0.4","0.30000000000000004","5","100","""byPackets""","5","3","31.6","20","29.6"
"5","400","200","0.4","1","0.7000000000000001","5","100","""byPackets""","5","3","35.1","20","29.6"
"5","420","200","0","0","0","5","100","""byPackets""","5","3","31.4","20","29.6"
"5","440","200","0.2","0.8","0.8","5","100","""byPackets""","5","3","67.625","20","29.6"
"5","460","200","0.1","0.5","0.2","5","100","""byPackets""","5","3","37.65","20","29.6"
"5","480","200","0.8","0.4","0.9","5","100","""byPackets""","5","3","55.525","20","29.6"
"5","500","200","0.6000000000000001","0","0.7000000000000001","5","100","""byPackets""","5","3","52.175","20","29.6"
"5","520","200","0","0.30000000000000004","1","5","100","""byPackets""","5","3","75.55","20","29.6"
"5","540","200","0.7000000000000001","0","0.1","5","100","""byPackets""","5","3","30.25","20","29.6"
"5","560","200","0.2","0.6000000000000001","0.4","5","100","""byPackets""","5","3","33.825","20","29.6"
"5","580","200","0.6000000000000001","0.4","0.5","5","100","""byPackets""","5","3","55.1","20","29.6"
"5","600","200","0.9","1","0","5","100","""byPackets""","5","3","49.125","20","29.6"
"5","620","200","0.9","1","0.6000000000000001","5","100","""byPackets""","5","3","37","20","29.6"
